time_s,enterprise,event,freemium,mixed,premium
134.031716,3,finish,3,0,2
134.092639,3,start,3,0,2
134.227455,3,start,3,0,2
134.248343,3,finish,3,0,2
134.302744,3,start,3,0,2
134.738197,3,start,3,0,2
134.835213,3,finish,3,0,2
134.858369,3,start,3,0,2
135.38247,3,finish,3,0,2
135.396128,3,finish,3,0,2
135.459226,3,finish,3,0,2
135.468976,3,finish,3,0,2
135.506865,3,finish,3,0,2
135.5693,3,finish,3,0,2
135.966409,3,start,3,0,2
135.969067,3,start,3,0,2
136.043447,3,start,3,0,2
136.133319,3,start,3,0,2
136.349012,3,finish,3,0,2
136.490917,3,start,3,0,2
136.770682,3,start,3,0,2
136.886494,3,start,3,0,2
137.063517,3,finish,3,0,2
137.137605,3,finish,3,0,2
137.214574,3,start,3,0,2
137.655491,3,finish,3,0,2
137.827559,3,start,3,0,2
138.242311,3,finish,3,0,2
138.272764,3,start,3,0,2
138.366522,3,start,3,0,2
138.457869,3,start,3,0,2
138.465585,3,start,3,0,2
138.478092,3,finish,3,0,2
138.488591,3,start,3,0,2
138.571551,3,start,3,0,2
138.637137,3,finish,3,0,2
138.810662,3,start,3,0,2
138.936665,3,finish,3,0,2
139.39024,3,finish,3,0,2
139.518883,3,start,3,0,2
140.101558,3,start,3,0,2
140.150687,3,start,3,0,2
140.434536,4,start,2,0,2
140.516077,4,start,2,0,2
140.584051,4,start,2,0,2
140.674277,4,finish,2,0,2
140.678127,4,start,2,0,2
140.721904,4,start,2,0,2
140.791462,4,start,1,0,3
140.834309,4,finish,1,0,3
140.855884,4,start,1,0,3
140.923382,4,finish,1,0,3
140.927144,4,start,1,0,3
141.236326,4,finish,1,0,3
141.462829,4,finish,1,0,3
141.782819,4,finish,1,0,3
141.830109,4,finish,1,0,3
142.025739,4,start,1,0,3
142.222125,4,finish,1,0,3
142.670943,4,start,1,0,3
142.966801,4,finish,1,0,3
143.203117,4,start,1,0,3
143.23065,4,start,1,0,3
143.396844,4,finish,1,0,3
143.494118,4,start,1,0,3
143.559424,4,finish,1,0,3
143.589147,4,start,1,0,3
143.688116,4,finish,1,0,3
